Date,Time (UTC),Exchange,Symbol,Side,Quantity,Price,Total USD,Fee (est.),Net Amount,Order ID,Mode,Notes
,,,,,,,,,,,"NOTE","Hey, if you're at this stage of the video, you must be enjoying it... perhaps you could hit subscribe now? :)"
2026-05-10,20:57:26,BitGet,BTCUSDT,,,80660.00,,,,BLOCKED,BLOCKED,"Failed: RSI(3) above 70 (reversal setup in downtrend)"
2026-05-10,20:58:22,BitGet,BTCUSDT,,,80700.00,,,,BLOCKED,BLOCKED,"Failed: RSI(3) above 70 (reversal setup in downtrend)"
2026-05-10,20:58:31,BitGet,BTCUSDT,,,80700.00,,,,BLOCKED,BLOCKED,"Failed: RSI(3) above 70 (reversal setup in downtrend)"
2026-05-10,21:01:00,BitGet,BTCUSDT,,,80795.43,,,,BLOCKED,BLOCKED,"Failed: RSI(3) above 70 (reversal setup in downtrend)"
2026-05-10,21:02:13,BitGet,BTCUSDT,,,80797.52,,,,BLOCKED,BLOCKED,"Failed: RSI(3) above 70 (reversal setup in downtrend)"
2026-05-10,21:02:54,BitGet,BTCUSDT,,,80935.89,,,,BLOCKED,BLOCKED,"Failed: RSI(3) above 70 (reversal setup in downtrend)"
2026-05-10,21:36:34,BitGet,BTCUSDT,,,80861.64,,,,BLOCKED,BLOCKED,"Failed: RSI(3) above 70 (reversal setup in downtrend)"
2026-05-10,21:51:59,BitGet,BTCUSDT,,,80917.98,,,,BLOCKED,BLOCKED,"Claude HOLD 92%: Price is below both VWAP and EMA(8) indicating BEARISH bias, but RSI(3) at 54.26 is neither oversold (<30) nor overbought (>70), so no valid entry signal exists under any bias."
2026-05-11,01:00:48,BitGet,BTCUSDT,,,81443.67,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-05-11,15:11:41,BitGet,BTCUSDT,,,80933.13,,,,BLOCKED,BLOCKED,"Failed: RSI(3) above 70 (reversal setup in downtrend)"
2026-05-11,16:09:06,BitGet,BTCUSDT,,,81530.00,,,,BLOCKED,BLOCKED,"Failed: RSI(3) below 30 (snap-back setup in uptrend)"
2026-05-11,16:09:34,BitGet,BTCUSDT,,,81596.31,,,,BLOCKED,BLOCKED,"Claude HOLD 95%: RSI(3) at 100 indicates extreme overbought conditions, which is the opposite of the <30 oversold snap-back required for a BUY signal."
2026-05-11,16:13:33,BitGet,BTCUSDT,,,81724.68,,,,BLOCKED,BLOCKED,"Claude HOLD 95%: RSI(3) is at 100 (extremely overbought), which is the opposite of the required <30 oversold condition for a BUY signal."
2026-05-11,16:34:46,BitGet,BTCUSDT,,,81888.08,,,,BLOCKED,BLOCKED,"Claude HOLD 97%: RSI(3) is at 100 (extremely overbought), which is the opposite of the required <30 oversold condition for a BUY signal, despite price being above both VWAP and EMA(8)."
2026-05-11,16:34:50,BitGet,ETHUSDT,,,2337.91,,,,BLOCKED,BLOCKED,"Claude HOLD 95%: RSI(3) at 80.68 is heavily overbought, far above the <30 threshold required for a bullish snap-back entry."
2026-05-11,16:34:54,BitGet,SOLUSDT,,,97.67,,,,BLOCKED,BLOCKED,"Claude HOLD 95%: RSI(3) at 96.80 is extremely overbought (requires <30 for entry), and price is 2.05% above VWAP (exceeds the 1.5% proximity threshold), so neither BUY condition is met."
2026-05-11,16:34:58,BitGet,BNBUSDT,,,661.83,,,,BLOCKED,BLOCKED,"Claude HOLD 95%: RSI(3) is at 100 (severely overbought), failing the RSI < 30 oversold snap-back entry requirement despite price being above both VWAP and EMA(8)."
2026-05-11,16:35:01,BitGet,THETAUSDT,,,0.24,,,,BLOCKED,BLOCKED,"Claude HOLD 95%: RSI(3) at 100 indicates extreme overbought conditions, failing the RSI < 30 entry requirement for a bullish snap-back signal."
2026-05-11,16:35:04,BitGet,AXSUSDT,,,1.42,,,,BLOCKED,BLOCKED,"Claude HOLD 92%: RSI(3) at 59.37 is well above the <30 oversold threshold required for a bullish entry signal."
2026-05-11,16:35:09,BitGet,ADAUSDT,,,0.28,,,,BLOCKED,BLOCKED,"Claude HOLD 95%: RSI(3) at 88.46 is heavily overbought, far from the <30 threshold required for a bullish snap-back entry signal."
2026-05-11,16:35:16,BitGet,BTCUSDT,,,81900.00,,,,BLOCKED,BLOCKED,"Claude HOLD 95%: RSI(3) is at 100 (extreme overbought), failing the RSI < 30 oversold snap-back entry condition, and price is 0.95% above VWAP but RSI requirement is not met."
2026-05-11,16:35:17,BitGet,ETHUSDT,,,2338.19,,,,BLOCKED,BLOCKED,"Claude HOLD 95%: RSI(3) at 81.12 is severely overbought — far above the required <30 threshold for a bullish snap-back entry, despite price being above both VWAP and EMA(8)."
2026-05-11,16:36:09,BitGet,BTCUSDT,,,81898.92,,,,BLOCKED,BLOCKED,"Claude HOLD 95%: RSI(3) at 100 indicates extreme overbought conditions, failing the RSI < 30 entry requirement despite bullish price/EMA/VWAP alignment."
2026-05-11,16:36:13,BitGet,ETHUSDT,SELL,0.000055,2336.57,0.13,0.0001,0.13,PAPER-SELL-1778517373041,PAPER,"Claude EXIT 72%: RSI(3) at 78.26 is in overbought territory and price is barely above EMA(8) by only -0.02%, indicating momentum is stalling near a potential reversal point with a solid 6.21% gain secured."
2026-05-11,16:36:16,BitGet,SOLUSDT,,,97.73,,,,BLOCKED,BLOCKED,"Claude HOLD 95%: RSI(3) at 96.88 is extremely overbought (far above the <30 threshold required for entry), and price is 2.11% above VWAP (exceeding the 1.5% proximity rule), so no valid BUY signal exists."
2026-05-11,16:36:20,BitGet,BNBUSDT,,,661.65,,,,BLOCKED,BLOCKED,"Claude HOLD 95%: RSI(3) at 100 indicates extreme overbought conditions, failing the required RSI(3) < 30 oversold snap-back entry criterion."
2026-05-11,16:36:24,BitGet,THETAUSDT,,,0.24,,,,BLOCKED,BLOCKED,"Claude HOLD 95%: RSI(3) at 100 indicates extreme overbought conditions, failing the RSI(3) < 30 entry requirement for a bullish snap-back signal."
2026-05-11,16:36:27,BitGet,AXSUSDT,,,1.42,,,,BLOCKED,BLOCKED,"Claude HOLD 92%: RSI(3) at 58.06 is well above the required <30 oversold threshold, so the bullish entry condition is not met despite price being near VWAP and EMA(8)."
2026-05-11,16:36:30,BitGet,ADAUSDT,,,0.28,,,,BLOCKED,BLOCKED,"Claude HOLD 95%: RSI(3) at 88.46 is deeply overbought, far above the required <30 threshold for a bullish snap-back entry."
2026-05-11,16:36:35,BitGet,ETHUSDT,,,2336.62,,,,BLOCKED,BLOCKED,"Claude HOLD 85%: RSI(3) at 78.36 is deeply overbought — far above the required <30 threshold for a bullish snap-back entry, despite price being above both VWAP and EMA(8)."
2026-05-11,17:00:51,BitGet,BTCUSDT,,,67400.09,,,,BLOCKED,BLOCKED,"Claude HOLD 97%: Price is 16.92% below VWAP, failing the bullish bias condition (price > VWAP) required for any BUY entry."
2026-05-11,17:00:55,BitGet,ETHUSDT,,,1968.99,,,,BLOCKED,BLOCKED,"Claude HOLD 97%: Price is 15.59% below VWAP, far exceeding the 1.5% proximity requirement, and price is also below EMA(8), so neither bullish bias condition is met."
2026-05-11,17:01:01,BitGet,BNBUSDT,,,615.10,,,,BLOCKED,BLOCKED,"Claude HOLD 95%: Price is 6.20% below VWAP, violating the bullish bias condition that requires price to be within 1.5% of VWAP and above VWAP; additionally price is below EMA(8)."
2026-05-11,17:01:07,BitGet,AXSUSDT,,,1.34,,,,BLOCKED,BLOCKED,"Claude HOLD 92%: Price is 5.35% below VWAP (exceeds the 1.5% threshold) and below VWAP itself, failing the bullish bias condition required for a BUY signal."
2026-05-11,17:01:10,BitGet,ADAUSDT,,,0.28,,,,BLOCKED,BLOCKED,"Claude HOLD 85%: RSI(3) at 34.43 is above the <30 oversold threshold required for a BUY signal, so entry criteria are not fully met."
2026-05-12,01:00:44,BitGet,ARBUSDT,BUY,0.949527,0.13,0.12,0.0001,0.12,,LIVE,"Error: BitGet order failed: Request URL NOT FOUND"
2026-05-12,01:00:45,BitGet,NEARUSDT,,,1.37,,,,BLOCKED,BLOCKED,"Failed: RSI(3) above 70 (reversal setup in downtrend)"
2026-05-12,01:00:48,BitGet,OPUSDT,,,0.12,,,,BLOCKED,BLOCKED,"Failed: RSI(3) below 30 (snap-back setup in uptrend); EMA(8) above EMA(21) (uptrend confirmed); Volume above average (conviction)"
2026-05-12,01:00:49,BitGet,TIAUSDT,,,0.38,,,,BLOCKED,BLOCKED,"Failed: RSI(3) below 30 (snap-back setup in uptrend); 4H trend bullish (EMA8 > EMA21 on 4H); Volume above average (conviction)"
2026-05-12,01:00:50,BitGet,APTUSDT,,,0.93,,,,BLOCKED,BLOCKED,"Failed: RSI(3) above 70 (reversal setup in downtrend)"
2026-05-12,01:00:52,BitGet,AXSUSDT,,,1.10,,,,BLOCKED,BLOCKED,"Failed: RSI(3) above 70 (reversal setup in downtrend)"
